filename,functions,expected_insns,inlined_functions,parallel,execution_1,execution_2,execution_3,execution_4,execution_5,execution_6,execution_7,execution_8,execution_9,execution_10,execution_11,execution_12,execution_13,execution_14,execution_15,predicted
1-10-0.c,1,10,0,1,0.033337692,0.034108165,0.032559043,0.032683666,0.032631396,0.032641106,0.03255498,0.032580172,0.032849565,0.032564409,0.032451845,0.033432159,0.032866777,0.032596073,0.032530974,2.993412873511019
1-10-0.c,1,10,0,2,0.039051195,0.038972158,0.038923608,0.039095459,0.038916364,0.038792763,0.038869613,0.038633071,0.038928758,0.039239193,0.040147505,0.039222519,0.039385497,0.038880643,0.038989213,1.5419699524865311
1-10-0.c,1,10,0,4,0.039798593,0.039232036,0.039017446,0.038890103,0.039010137,0.03887209,0.039015733,0.039219281,0.038863481,0.038932269,0.039416458,0.038899646,0.039049216,0.039135951,0.03882337,-0.10442631001664554
1-10-0.c,1,10,0,8,0.038945169,0.039065176,0.038847704,0.038910174,0.038982603,0.038812271,0.039250578,0.038482631,0.038767339,0.038830868,0.038712141,0.038650658,0.040167682,0.038581646,0.038894286,1.6287394831601938
1-104-0.c,1,104,0,1,0.065468555,0.063246979,0.061672167,0.061293409,0.061764653,0.062279377,0.061877861,0.06418719,0.060589375,0.060472539,0.060867747,0.059739139,0.059754966,0.060200868,0.059940059,2.993776948403731
1-104-0.c,1,104,0,2,0.061086766,0.061500237,0.061507519,0.06103232,0.061485942,0.061798142,0.061047558,0.061149611,0.060851838,0.060994006,0.061003562,0.061716266,0.06139572,0.060809137,0.060981656,1.5468229992495048
1-104-0.c,1,104,0,4,0.061041907,0.060428836,0.061072022,0.061140211,0.06120101,0.061433819,0.061438738,0.061210084,0.060827532,0.061368012,0.060660048,0.060679854,0.062668052,0.061547295,0.060714531,-0.0951385089294432
1-104-0.c,1,104,0,8,0.060859781,0.061624041,0.060642359,0.060932046,0.060832209,0.061002053,0.060868072,0.061450404,0.060921757,0.060713025,0.061320732,0.060879879,0.060746882,0.060540115,0.065789599,1.6287240352306749
1-11-0.cc,1,11,0,1,0.483989536,0.496346823,0.479808661,0.491601632,0.483173837,0.483917496,0.480245848,0.477744076,0.477727992,0.484823859,0.484257355,0.478123904,0.489018613,0.54384827,0.479091305,2.993416718102318
1-11-0.cc,1,11,0,2,0.484136215,0.478406349,0.483629537,0.4809573,0.482034968,0.486407076,0.479692037,0.48466792,0.479806192,0.488241876,0.478146999,0.483777703,0.478609484,0.478224325,0.499586687,1.542021565968957
1-11-0.cc,1,11,0,4,0.48392723,0.478554882,0.478566757,0.478378267,0.485180673,0.479762208,0.479204049,0.48385316,0.482022679,0.480178616,0.485702693,0.482012516,0.478381041,0.482815065,0.477897999,-0.1043275027421552
1-11-0.cc,1,11,0,8,0.493118532,0.487682078,0.486968505,0.486596592,0.497706391,0.486002375,0.488873523,0.486446904,0.486186528,0.493602363,0.516218106,0.48757972,0.488702767,0.488106128,0.488121922,1.6287393020580563
1-12-0.c,1,12,0,1,0.030443236,0.031130737,0.030003154,0.029850027,0.029599512,0.02960592,0.029778945,0.029785266,0.030014706,0.029821577,0.02973731,0.029804634,0.029663411,0.030082091,0.029893114,2.9934205633075064
1-12-0.c,1,12,0,2,0.036014451,0.035980018,0.036127681,0.036055062,0.037006177,0.036272285,0.036173549,0.036127311,0.035952656,0.036199262,0.036260791,0.037162265,0.035990364,0.036585929,0.036117404,1.542073179766966
